centre_code,centre_name,city,state,pin,lat,lon,pin_place,pin_state,source
IND683511AAA,Aluva_Peedika_H (Kerala),Aluva,Kerala,683511,10.1019,76.291,"Alangad, West Veliyathunad, Panaikulam, Neericode, Karumalloor",Kerala,geonames-pin
IND580028AAA,Hubli_Adargchi_IP (Karnataka),Hubli,Karnataka,580028,15.196988888888889,75.2014,"Kubihal, Sherewad, Hubli Mv Galli, Hubli Bankapur Chowki, Mattigatti, Nulvi, Adaragunchi, Hubli Moorsavirmath, Ingalgi",Karnataka,geonames-pin
IND691001AAB,Kollam_Central_H_1 (Kerala),Kollam,Kerala,691001,8.8862,76.5956,"Kollam Bazar, Kollam H.O, Kollam Taluk Cutchery, Kollam Cantonment",Kerala,geonames-pin
IND560058AAD,Bengaluru_Peenya_L (Karnataka),Bengaluru,Karnataka,560058,13.225699999999998,77.575,"Peenya I Stage, Laggere, Peenya Small Industries",Karnataka,geonames-pin
IND506002AAA,Warangal_HunterRd_I (Telangana),Warangal,Telangana,506002,17.9218,79.7582,"Beat Bazar, Kasibugga (Warangal), Grainmarket, Matwada, Mandi Bazar, Svn Road, Karimabad, Warangal H.O, Mahathma Gandhi Road, Railway Gate",Telangana,geonames-pin
IND400072AAD,Mumbai_Chndivli_PC (Maharashtra),Mumbai,Maharashtra,400072,18.9808,72.8338,"Vihar Road, Sakinaka",Maharashtra,geonames-pin
IND244901AAB,Rampur_RoshnBgh_I (Uttar Pradesh),Rampur,Uttar Pradesh,244901,28.78577894736842,79.10396842105263,"Aghapur, Rampur City, Koila, Purana Ganj, Daniapur, Benazir, Patwai, Nankar, Juthia, Rampur Secretariate, Madhauli, Narkhera, Nipania, Kira, Mahu Nagar, Ajit Pur, Bakania, Bara Khas, Chamroa, Chikti Ramnagar, C.R.P. Hq, Jwala Nagar, Kakrawa, Mathuraour, M.B.Rampur, Meston Ganj, Punjab Nagar, Rampur H.O, Rawari Kalan, Roshan Bag Road, C & M Store, Khusro Bagh, Rampur Chowk, Rampur Distilliry, Tehsil Rampur, Bhot, Ialam Ganj, Civil Line Rampur",Uttar Pradesh,geonames-pin
IND110037AAK,Delhi_Kapshera_L (Delhi),Delhi,Delhi,110037,28.547980000000003,77.11330000000001,"Nangal Dewat, Mahipalpur, Gurgaon Road, Palam Airport, IGI Airport",Delhi,geonames-pin
IND411036AAA,Pune_Mundhawa_L (Maharashtra),Pune,Maharashtra,411036,18.5348,73.9306,"Mundhva, Mundhva AV",Maharashtra,geonames-pin
IND811399AAA,Noida_Sector02_C (Uttar Pradesh),Noida,Uttar Pradesh,811399,,,,,
IND431136AAC,Aurangabad_Central_H_1 (Maharashtra),Aurangabad,Maharashtra,431136,20.0291,75.2816,"Ghanegaon, Bajaj Nagar Midc Waluj, Waladgaon",Maharashtra,geonames-pin
IND411021AAA,PNQ Pashan DPC (Maharashtra),,Maharashtra,411021,18.5131,73.7825,"Bavdhan, Armament, Sus",Maharashtra,geonames-pin
IND523002AAA,Ongole_SubhVRTL_I (Andhra Pradesh),Ongole,Andhra Pradesh,523002,15.5191,79.6158,"Kurnool Road (O), M.M.Donka (O), Lawyer Pet (O)",Andhra Pradesh,geonames-pin
IND421302AAR,Mumbai_East_I_21 (Maharashtra),Mumbai,Maharashtra,421302,19.222834782608697,73.22239565217392,"Chimbipada, Shastrinagar (Thane), Anjur, Angaon, Kalher, Kunde, Mahapoli, Shantinagar E.D., Kharbav, Lonad, Dunge, Dighashi, Chinchwali, Shelar, Dandekarwadi, Dabhad, Amane, Rehnal, Pachhapur, Vadpe, Vadavali, Paye, Dugad",Maharashtra,geonames-pin
IND131021AAA,Sonipat_AmzonDev_V (Haryana),Sonipat,Haryana,131021,29.07142,76.83188,"Baroli, Bahalgarh, Qumaspur, Deepalpur, Khewra",Haryana,geonames-pin
IND641062AAD,Coimbatore_Karayam_H (Tamil Nadu),Coimbatore,Tamil Nadu,641062,11.012875,77.05675,"Venkitapuram, Mylampatti, Sinniampalayam, Nilambur",Tamil Nadu,geonames-pin
IND382430AAB,Ahmedabad_East_H_1 (Gujarat),Ahmedabad,Gujarat,382430,22.7611,72.2477,"Kathwada Maize Product, Kathwada, Pasunj, Zanu, Kanbha, Bakrol, Kujad, Bhuvaldi, Kubadthal",Gujarat,geonames-pin
IND632006AAA,Vellore_GndhiNgr_IP (Tamil Nadu),Vellore,Tamil Nadu,632006,12.7779,79.1353,"Thandalam Krishnapuram, Gandhinagar (Vellore), Gandhinagar West, Senur, Jaffarapettai, Kangeyanallur, Gandhinagar East, Virudhambattu",Tamil Nadu,geonames-pin
IND560064AAD,Bengaluru_Bagaluru_D (Karnataka),Bengaluru,Karnataka,560064,13.207771428571428,77.6155142857143,"Yelahanka Satellite Town, Attur, Yelahanka, Jakkur, Singanayakanahalli, CRPF Campus Yelahanka, Rajanakunte",Karnataka,geonames-pin
IND395023AAD,Surat_Central_I_4 (Gujarat),Surat,Gujarat,395023,21.2623,73.0694,Bhestan,Gujarat,geonames-pin
IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),Bengaluru,Karnataka,560099,13.239875,77.550075,"Bommasandra Industrial Estate, Muthanallur, Chandapura, Huskur",Karnataka,geonames-pin
IND000000ACT,Delhi_Gateway_HB (Delhi),Delhi,Delhi,000000,,,,,
IND401104AAA,Mumbai_MiraRd_IP (Maharashtra),Mumbai,Maharashtra,401104,,,,,
IND410206AAB,Mumbai_Panvel_D (Maharashtra),Mumbai,Maharashtra,410206,19.549496428571427,74.7128,"Nhava, Panvel H.O, Kelevane, Adai, Morbe, Wavarle, Ulwa, Chawk, Jasai, Kamothe, Vaje, Gavan, Koproli, Jci Kamothe, Vasheni, Wavandhal, Panvel City, Kundevahal, Chirner, Dighode, Lodhivali, Somatane, Nere, Awre, Khanda Colony, Pargaon, Vahal, Jui",Maharashtra,geonames-pin
IND788026AAC,Silchar_Sirikona_H (Assam),Silchar,Assam,788026,24.8352,92.7158,"Digor Srikona, Baglaghat, Rajnagar, Srikona",Assam,geonames-pin
IND110037AAM,Delhi_Airport_H (Delhi),Delhi,Delhi,110037,28.547980000000003,77.11330000000001,"Nangal Dewat, Mahipalpur, Gurgaon Road, Palam Airport, IGI Airport",Delhi,geonames-pin
IND641607AAA,Tirupur_Koliplm_I (Tamil Nadu),Tirupur,Tamil Nadu,641607,11.034675,77.085275,"Sarkarperiapalayam, Tiruneelakandapuram, Mannarai, Tirupur East",Tamil Nadu,geonames-pin
IND560083AAB,Bengaluru_Bnnrghta_L (Karnataka),Bengaluru,Karnataka,560083,13.21696,77.5086,"Sakalavara, Kalkere, Ragihalli, Bannerghatta, Gottigere",Karnataka,geonames-pin
IND400015AAA,Mumbai_CottonGreen_DPC (Maharashtra),Mumbai,Maharashtra,400015,19.0,72.85,Sewri,Maharashtra,geonames-pin
IND501359AAE,Hyderabad_Shamshbd_H (Telangana),Hyderabad,Telangana,501359,17.201649999999997,78.51263333333334,"Maisaram, Kandukur, Lemur, Gudur, Chippalapalli, Rachaloor, Tummalur, Dabbedguda, Pulmamidi, Nedunur, Jaitwaram, Mankhal",Telangana,geonames-pin
IND500010AAB,Hyderabad_Alwal_L (Telangana),Hyderabad,Telangana,500010,17.4171,78.4772,"Bolarum Bazar, Bolarum, Alwal",Telangana,geonames-pin
IND786001AAB,Dibrugarh_Bokule_H (Assam),Dibrugarh,Assam,786001,27.3664,95.0562,"Kadamoni, Panchali, Dibrugarh H.O, Graham Bazar, Santipara, Khaliamari, Naliapool",Assam,geonames-pin
IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),Bhiwandi,Maharashtra,421302,19.222834782608697,73.22239565217392,"Chimbipada, Shastrinagar (Thane), Anjur, Angaon, Kalher, Kunde, Mahapoli, Shantinagar E.D., Kharbav, Lonad, Dunge, Dighashi, Chinchwali, Shelar, Dandekarwadi, Dabhad, Amane, Rehnal, Pachhapur, Vadpe, Vadavali, Paye, Dugad",Maharashtra,geonames-pin
IND600056AAB,MAA_Poonamallee_HB (Tamil Nadu),MAA,Tamil Nadu,600056,13.05164,79.89666,"Poonamallee, Kattupakkam, Senneerkuppam, Poonamallee East, Iyyappanthangal",Tamil Nadu,geonames-pin
IND562132AAA,Bangalore_Nelmngla_H (Karnataka),Bangalore,Karnataka,562132,13.228566666666666,77.48276666666668,"Niduvanda, Doddabele, Kollalagatta, Manne, Obalapura, Tyamagondlu",Karnataka,geonames-pin
IND400072AAB,Mumbai Hub (Maharashtra),,Maharashtra,400072,18.9808,72.8338,"Vihar Road, Sakinaka",Maharashtra,geonames-pin
IND518002AAA,Kurnool_AbbasNgr_I (Andhra Pradesh),Kurnool,Andhra Pradesh,518002,15.7074,78.07358333333333,"KNL-camp-B, Joharapuram, Uppalapadu, Bukkapuram, Meedivemula, Loddipalli, Kurnool Medicalcollege, Vuyyalawada, M.S.Nagar, Sri Krishna Nagar, Narnur, Dinnedevarapadu",Andhra Pradesh,geonames-pin
IND305001AAC,Ajmer_FoySGRRD_I (Rajasthan),Ajmer,Rajasthan,305001,26.4475,74.6288,"Alwar Gate Ajmer, Dargha Shareef Ajmer, Dhan Mandi Ajmer, Ashok Marg Ajmer, Ajmer H.O, Shastri Nagar (Ajmer), Bhajan Ganj Ajmer, Raj. Edu. Board Ajmer, RPSC Ajmer, Jones Ganj Ajmer, Kaiser Ganj Ajmer, Loco Work Shop Ajmer, Kutchery (Ajmer), Session Court Ajmer, Ganj Ajmer, Gujar Dharti Ajmer, Naya Bazar (Ajmer), Jln Hospital Ajmer, Nagra Ajmer",Rajasthan,geonames-pin
IND110044AAB,Del_Okhla_PC (Delhi),Del,Delhi,110044,28.5027,77.3084,"Pul Pahladpur, Jaitpur, Tugalkabad, Badarpur (South Delhi), BTPS (South Delhi), Molarband, Tugalkabad Railway Colony, Jaitpur (South Delhi), Lal Kuan, Meethapur",Delhi,geonames-pin
IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),Chandigarh,Punjab,160002,30.7465,76.7417,"Hallomajra, Ram Darbar, Ind Area Chandigarh",Chandigarh,geonames-pin
IND000000ACK,Hyderabad_Chikdply_C (Telangana),Hyderabad,Telangana,000000,,,,,
IND000000ACA,Ludhiana_MilrGanj_HB (Punjab),Ludhiana,Punjab,000000,,,,,
IND209304AAA,Kanpur_Central_H_6 (Uttar Pradesh),Kanpur,Uttar Pradesh,209304,26.4057875,80.1185375,"Parsauli, Rania, Fatehpur Roshnai, Bisayakpur, Binour, Raipur Kukhat, Jugrajpur, Sachendi",Uttar Pradesh,geonames-pin
IND131028AAB,Sonipat_Kundli_H (Haryana),Sonipat,Haryana,131028,28.8664,77.143575,"Sersa, Kundli, Industrial Estate Kundli, Janti Kalan",Haryana,geonames-pin
IND400011AAA,LowerParel_CP (Maharashtra),LowerParel,Maharashtra,400011,18.9833,72.8333,"Chinchpokli, BPC  Jacob Circle, Agripada, Jacob Circle, Haines Road",Maharashtra,geonames-pin
IND521225AAB,Vijayawada_Rynapadu_H (Andhra Pradesh),Vijayawada,Andhra Pradesh,521225,16.5412,80.5784,Gollapudi,Andhra Pradesh,geonames-pin
IND302014AAB,Jaipur_Central_I_7 (Rajasthan),Jaipur,Rajasthan,302014,,,,,
IND422011AAD,Nashik_TgrniaRD_I (Maharashtra),Nashik,Maharashtra,422011,20.2597,74.0726,Dwarka Corner,Maharashtra,geonames-pin
